 Zkm Lat   rhokgm3      pNm2     TK     Zeta    RJkgK
  22  85  1.788E+01  1.917E+06  564.3   .9931  191.40
  23  85  1.671E+01  1.766E+06  556.0   .9930  191.40
  24  85  1.562E+01  1.625E+06  547.5   .9929  191.40
  25  85  1.457E+01  1.493E+06  539.2   .9929  191.40
  26  85  1.359E+01  1.370E+06  530.7   .9928  191.40
  27  85  1.265E+01  1.256E+06  522.3   .9929  191.40
  28  85  1.177E+01  1.149E+06  513.8   .9929  191.40
  29  85  1.093E+01  1.050E+06  505.6   .9929  191.40
  30  85  1.015E+01  9.581E+05  496.9   .9930  191.40
  31  85  9.406E+00  8.729E+05  488.3   .9931  191.40
  32  85  8.704E+00  7.940E+05  479.9   .9932  191.40
  33  85  8.066E+00  7.210E+05  470.2   .9932  191.40
  34  85  7.447E+00  6.534E+05  461.5   .9933  191.40
  35  85  6.868E+00  5.911E+05  452.6   .9934  191.40
  36  85  6.324E+00  5.336E+05  443.7   .9936  191.40
  37  85  5.813E+00  4.808E+05  434.8   .9937  191.40
  38  85  5.333E+00  4.323E+05  426.0   .9939  191.40
  39  85  4.889E+00  3.878E+05  416.8   .9940  191.40
  40  85  4.471E+00  3.471E+05  407.8   .9942  191.40
  41  85  4.077E+00  3.099E+05  399.2   .9944  191.40
  42  85  3.712E+00  2.760E+05  390.4   .9945  191.40
  43  85  3.371E+00  2.450E+05  381.8   .9947  191.40
  44  85  3.059E+00  2.171E+05  372.7   .9949  191.40
  45  85  2.770E+00  1.918E+05  363.4   .9951  191.40
  46  85  2.504E+00  1.689E+05  354.0   .9953  191.40
  47  85  2.251E+00  1.482E+05  345.4   .9955  191.40
  48  85  2.018E+00  1.297E+05  337.1   .9957  191.40
  49  85  1.805E+00  1.128E+05  327.9   .9959  191.40
  50  85  1.614E+00  9.819E+04  319.1   .9961  191.40
  51  85  1.438E+00  8.494E+04  309.8   .9962  191.40
  52  85  1.274E+00  7.314E+04  301.0   .9964  191.40
  53  85  1.132E+00  6.273E+04  290.5   .9966  191.40
  54  85  1.000E+00  5.351E+04  280.4   .9967  191.40
  55  85  8.805E-01  4.532E+04  269.8   .9968  191.40
  56  85  7.739E-01  3.818E+04  258.4   .9969  191.40
  57  85  6.741E-01  3.188E+04  247.8   .9970  191.40
  58  85  5.780E-01  2.646E+04  239.8   .9973  191.40
  59  85  4.798E-01  2.189E+04  238.9   .9977  191.40
  60  85  3.912E-01  1.813E+04  242.5   .9982  191.40
  62  85  2.631E-01  1.253E+04  249.1   .9988  191.40
  64  85  1.853E-01  8.676E+03  244.9   .9992  191.40
  66  85  1.291E-01  5.977E+03  242.0   .9994  191.40
