Time,X,Y,Z,VX,VY,VZ
10946337.9810642,13850173.2601887,98044490.3854818,-1278612.54233356,-40.0290177555278,4.83850455126485,1.75887508957846
11065156.5285709,9082144.89844522,98524558.1287004,-1068458.52450722,-40.2154658150222,3.24019800647084,1.77795849443581
11147985.2502758,5747400.73466667,98746586.0108056,-920713.277921822,-40.2996457273062,2.12034953208678,1.78925028888886
11230813.9719806,2407252.53661613,98875735.633774,-772102.115304775,-40.3459643504969,0.997828455155322,1.79886566559151
11313642.6936854,-935159.219629729,98911857.973193,-622764.578509622,-40.3543269995881,-0.125625382553558,1.80678869672398
11396471.4153902,-4276692.83824034,98854947.5163413,-472841.228269672,-40.3247441728462,-1.24827248941909,1.81300816400121
11479300.1370951,-7614209.92124609,98705142.2983487,-322473.442267808,-40.2573310329094,-2.36837756031456,1.81751756122838
11562128.8587999,-10944582.3641935,98462725.5760514,-171803.113312659,-40.152307744997,-3.48421448127524,1.82031514306415
11644957.5805047,-14264707.7174521,98128121.4768709,-20971.9326501021,-40.0099957465058,-4.59408213031084,1.82140386424686
11727786.3022095,-17571516.4923806,97701893.0266481,129878.95025517,-39.8308158719074,-5.69631181246522,1.82079134563761
11812816.5741462,-20949184.6297761,97169761.5844362,284612.535235257,-39.6090668683213,-6.81817971766895,1.81840571962664
11897846.8460828,-24306390.5357734,96542714.9256044,439068.151019101,-39.3496742589428,-7.92855473416529,1.81425823597797
11982877.1180194,-27639964.9708859,95821801.0594224,593096.925340776,-39.0533979216077,-9.0257734131354,1.80837172373659
12067907.3899561,-30946809.6351702,95008205.775044,746552.234854833,-38.7210892323329,-10.1082386999161,1.80077355281163
12162215.7043604,-34579553.2833787,93999036.6061778,915906.351034767,-38.311516745726,-11.2897110271081,1.79038291215983
12256524.0187648,-38171688.1376932,92879469.4783092,1084184.92783904,-37.8601745255968,-12.4491743865136,1.77797510028629
12350832.3331691,-41719344.4950415,91651667.5935255,1251200.25244465,-37.3685650564669,-13.5847710580382,1.76360487415272
12445140.6475735,-45218802.5992715,90317961.4794473,1416770.1981773,-36.8382848068728,-14.6947759967389,1.74733208819101
12554903.2477368,-49226296.4454388,88635656.3524898,1607418.18614231,-36.1746493318605,-15.9523453854223,1.72608288825947
12664665.8479,-53158323.1007059,86817447.9322465,1795602.02216361,-35.4636912918732,-17.1708151305956,1.70245317894502
12774428.4480633,-57009842.8085309,84867739.0655319,1981066.58219394,-34.7082827869988,-18.3481599993669,1.67655788494513
12884191.0482266,-60776142.1996191,82791136.4291992,2163569.97914267,-33.9113659925658,-19.4826197766776,1.64851684770298
13008441.9416562,-64931230.8922223,80293348.0759586,2366302.60804992,-32.962946175074,-20.7131936036842,1.61434153388492
13132692.8350858,-68965639.2664568,77646296.0083384,2564637.47066821,-31.9695744263319,-21.885099493131,1.57776031718247
13256943.7285153,-72874047.9649606,74857357.4949494,2758286.94427191,-30.935632028287,-22.9969357487343,1.53895985119713
13381194.6219449,-76651690.4730667,71934051.83275,2946987.19273163,-29.8654495185751,-24.0476926541548,1.49812715242845
13521203.9523679,-80746487.1624529,68488514.1325081,3153389.80152868,-28.6214302008678,-25.1577388593987,1.44991325599453
13661213.282791,-84664619.5175389,64893082.6870641,3352893.46995583,-27.3427568605156,-26.1890173703497,1.39961925506285
13801222.613214,-88401625.2128983,61158783.5455499,3545224.41222119,-26.0351521393539,-27.1416008261704,1.3475017384809
13941231.943637,-91953841.2225002,57296586.2322859,3730144.99273802,-24.7040677392315,-28.0160187209201,1.29380823966707
14087622.9586755,-95467208.4950217,53133383.7399634,3915349.54073667,-23.2928145975154,-28.8477322192787,1.23624007178009
14234013.973714,-98772865.7660663,48854525.1516371,4092035.73486564,-21.8671206080084,-29.5965028835089,1.17746832940392
14380404.9887525,-101869066.566963,44472025.5661273,4260044.68418866,-20.4321741954636,-30.264141862607,1.1177373755092
14526796.003791,-104754810.689483,39997596.1083055,4419252.93704149,-18.99275679568,-30.8527588116424,1.0572753651603
14672877.6732342,-107424360.207997,35452331.6331107,4569261.96675085,-17.5562940223682,-31.3637191527906,0.996423785480772
14818959.3426774,-109884315.251566,30837850.8029862,4710356.26733703,-16.1237408931404,-31.8008804550833,0.935251295631351
14965041.0121206,-112135501.614478,26164746.5697095,4842501.61805233,-14.698717069301,-32.166903587752,0.873937762475382
15111122.6815638,-114179258.693844,21443200.68637,4965689.54595434,-13.2844682799734,-32.4645495114017,0.812646991131954
15254439.9421697,-115984505.228585,16773368.7549546,5077856.12443308,-11.9102486102496,-32.6928535234199,0.752681683938722
15397757.2027756,-117593898.034711,12075176.649878,5181448.37878908,-10.5516291734345,-32.8607775650518,0.693008812329815
15541074.4633815,-119009821.272254,7357090.51778213,5276516.11912538,-9.21077191030549,-32.9710231835931,0.633743280306493
15684391.7239874,-120234957.167527,2627178.53360725,5363125.16874165,-7.88956481140561,-33.0262732589382,0.574987606565336
15817837.9383352,-121206769.118393,-1780836.74306299,5436234.50724234,-6.67846179778689,-33.0306055361732,0.520817201791258
15951284.152683,-122018263.078453,-6186519.88080223,5502153.59399117,-5.48696782692097,-32.9916603459577,0.467233551881501
16084730.3670309,-122672119.118495,-10584228.5519568,5560964.45573473,-4.31608042296022,-32.9114913402405,0.414295097260411
16218176.5813787,-123171144.294375,-14968598.1481883,5612756.66814931,-3.1666479069087,-32.792097604305,0.362053234536503
16348696.7731649,-123512253.522883,-19239033.4386038,5656716.24096665,-2.06385644071,-32.6392429260604,0.311673828082083
16479216.9649512,-123710842.798866,-23487287.3677162,5694148.69106825,-0.982831605743352,-32.4524825373856,0.262040704626324
16609737.1567374,-123769781.365293,-27709042.0368644,5725153.41025999,0.0759638646526968,-32.2335150826814,0.213185986142575
